     time [fs]	           Xi0	      Epot [H]	         T [K]	
      0.000000	     79.957252	      0.000000	    298.150152	
      5.000000	     79.914159	      0.000002	    276.138484	
     10.000000	     79.871770	      0.000005	    324.598637	
     15.000000	     79.829876	      0.000009	    320.820108	
     20.000000	     79.788242	      0.000014	    318.103036	
     25.000000	     79.748927	      0.000019	    269.615547	
     30.000000	     79.709637	      0.000026	    245.536236	
     35.000000	     79.669412	      0.000034	    291.006064	
     40.000000	     79.630094	      0.000041	    239.653146	
     45.000000	     79.592355	      0.000051	    236.783687	
     50.000000	     79.555355	      0.000061	    262.686646	
     55.000000	     79.519900	      0.000072	    248.840037	
     60.000000	     79.487605	      0.000084	    230.604892	
     65.000000	     79.458243	      0.000097	    209.537975	
     70.000000	     79.432253	      0.000112	    222.950882	
     75.000000	     79.401612	      0.000130	    258.062222	
     80.000000	     79.362853	      0.000148	    322.921855	
     85.000000	     79.323749	      0.000168	    305.219494	
     90.000000	     79.288454	      0.000191	    322.631468	
     95.000000	     79.255187	      0.000216	    331.496575	
    100.000000	     79.222214	      0.000241	    333.799716	
    105.000000	     79.191242	      0.000265	    289.453611	
    110.000000	     79.163524	      0.000290	    254.079643	
    115.000000	     79.136067	      0.000315	    216.768343	
    120.000000	     79.106236	      0.000340	    241.007027	
    125.000000	     79.074931	      0.000363	    223.490096	
    130.000000	     79.041340	      0.000384	    156.479074	
    135.000000	     79.007875	      0.000405	    192.255767	
    140.000000	     78.977655	      0.000422	    135.371621	
    145.000000	     78.952215	      0.000438	    103.590138	
    150.000000	     78.926992	      0.000453	     76.323124	
    155.000000	     78.900873	      0.000471	    102.108503	
    160.000000	     78.877293	      0.000490	    106.427012	
    165.000000	     78.853254	      0.000508	     94.059313	
    170.000000	     78.830047	      0.000520	     80.411194	
    175.000000	     78.809872	      0.000528	     41.051003	
    180.000000	     78.790025	      0.000538	     34.872187	
    185.000000	     78.771288	      0.000549	     46.069002	
    190.000000	     78.754812	      0.000559	     36.696263	
    195.000000	     78.736643	      0.000567	     27.405022	
    200.000000	     78.712622	      0.000577	     35.060441	
    205.000000	     78.683145	      0.000587	     68.749512	
    210.000000	     78.655384	      0.000595	     72.158641	
    215.000000	     78.631283	      0.000602	     48.081639	
    220.000000	     78.610570	      0.000606	     40.593852	
    225.000000	     78.593256	      0.000609	     22.152359	
    230.000000	     78.578899	      0.000612	     20.145845	
    235.000000	     78.569728	      0.000614	     10.093848	
    240.000000	     78.568186	      0.000614	      2.594169	
    245.000000	     78.575097	      0.000613	      0.662182	
    250.000000	     78.584604	      0.000612	      7.925140	
    255.000000	     78.592587	      0.000611	      4.923700	
    260.000000	     78.602187	      0.000604	      6.576517	
    265.000000	     78.608159	      0.000595	     17.132847	
    270.000000	     78.609905	      0.000585	     16.867522	
    275.000000	     78.611560	      0.000575	     15.136094	
    280.000000	     78.615875	      0.000566	     17.429205	
    285.000000	     78.623303	      0.000555	     15.337867	
    290.000000	     78.628718	      0.000542	     30.683454	
    295.000000	     78.633365	      0.000531	     28.213706	
    300.000000	     78.638814	      0.000523	     17.779409	
    305.000000	     78.646912	      0.000515	     10.784626	
    310.000000	     78.662500	      0.000506	     17.571101	
    315.000000	     78.686669	      0.000497	     45.157966	
    320.000000	     78.713711	      0.000488	     57.679259	
    325.000000	     78.744502	      0.000481	     59.852990	
    330.000000	     78.781638	      0.000474	     84.812498	
    335.000000	     78.824583	      0.000464	    112.356314	
    340.000000	     78.871094	      0.000454	    161.460785	
    345.000000	     78.914600	      0.000443	    159.456435	
    350.000000	     78.954537	      0.000429	    128.376265	
    355.000000	     78.992418	      0.000412	    154.076180	
    360.000000	     79.025007	      0.000395	    148.749648	
    365.000000	     79.054378	      0.000377	    112.686323	
    370.000000	     79.087645	      0.000358	    138.167441	
    375.000000	     79.121541	      0.000338	    171.974039	
    380.000000	     79.153866	      0.000318	    162.672890	
    385.000000	     79.185606	      0.000296	    190.070268	
    390.000000	     79.215749	      0.000272	    212.547035	
    395.000000	     79.248948	      0.000248	    241.127394	
    400.000000	     79.285650	      0.000222	    293.370896	
    405.000000	     79.323409	      0.000195	    387.553152	
    410.000000	     79.361804	      0.000169	    385.202009	
    415.000000	     79.400534	      0.000143	    456.618889	
    420.000000	     79.442143	      0.000119	    487.096376	
    425.000000	     79.482270	      0.000098	    496.616934	
    430.000000	     79.518644	      0.000078	    468.338691	
    435.000000	     79.557394	      0.000061	    446.217630	
    440.000000	     79.595621	      0.000046	    496.620825	
    445.000000	     79.630813	      0.000033	    497.312759	
    450.000000	     79.666388	      0.000022	    421.664498	
    455.000000	     79.701049	      0.000014	    428.478864	
    460.000000	     79.734879	      0.000008	    433.988582	
    465.000000	     79.770576	      0.000003	    415.506983	
    470.000000	     79.805300	      0.000001	    468.058464	
    475.000000	     79.838117	      0.000001	    466.346238	
    480.000000	     79.866328	      0.000004	    578.329515	
    485.000000	     79.889226	      0.000010	    576.869607	
    490.000000	     79.915693	      0.000019	    558.924926	
    495.000000	     79.951705	      0.000030	    581.647061	
    500.000000	     79.993559	      0.000044	    598.769394	
    505.000000	     80.034325	      0.000061	    571.411196	
    510.000000	     80.072593	      0.000079	    545.803263	
    515.000000	     80.105045	      0.000102	    538.031117	
    520.000000	     80.131978	      0.000129	    590.524370	
    525.000000	     80.156001	      0.000162	    675.727177	
    530.000000	     80.184970	      0.000196	    661.464854	
    535.000000	     80.217708	      0.000233	    650.268528	
    540.000000	     80.247856	      0.000272	    570.583599	
    545.000000	     80.281982	      0.000313	    600.411075	
    550.000000	     80.315179	      0.000356	    594.956807	
    555.000000	     80.347332	      0.000401	    518.656600	
    560.000000	     80.377608	      0.000448	    549.088933	
    565.000000	     80.406386	      0.000500	    489.561099	
    570.000000	     80.439600	      0.000557	    608.881828	
    575.000000	     80.471014	      0.000614	    614.206943	
    580.000000	     80.499425	      0.000673	    519.391127	
    585.000000	     80.529129	      0.000733	    523.164667	
    590.000000	     80.557296	      0.000791	    485.518190	
    595.000000	     80.579844	      0.000850	    404.395308	
    600.000000	     80.594067	      0.000909	    395.485399	
    605.000000	     80.603789	      0.000970	    337.002800	
    610.000000	     80.614642	      0.001037	    387.042124	
    615.000000	     80.624622	      0.001104	    411.013651	
    620.000000	     80.631977	      0.001173	    348.320837	
    625.000000	     80.640000	      0.001245	    391.374662	
    630.000000	     80.658113	      0.001319	    393.067116	
    635.000000	     80.685385	      0.001393	    402.727267	
    640.000000	     80.713407	      0.001472	    400.304785	
    645.000000	     80.744261	      0.001553	    478.267619	
    650.000000	     80.777510	      0.001631	    411.179300	
    655.000000	     80.811439	      0.001705	    393.277602	
    660.000000	     80.841674	      0.001767	    327.982306	
    665.000000	     80.866221	      0.001822	    196.819174	
    670.000000	     80.891229	      0.001872	    173.587590	
    675.000000	     80.913979	      0.001910	    141.700872	
    680.000000	     80.934444	      0.001941	     70.008214	
    685.000000	     80.957853	      0.001972	     69.792550	
    690.000000	     80.982967	      0.002006	     86.512127	
    695.000000	     81.007118	      0.002038	     94.904412	
    700.000000	     81.029533	      0.002063	     71.257632	
    705.000000	     81.045442	      0.002082	     48.241633	
    710.000000	     81.056693	      0.002098	     21.326224	
    715.000000	     81.066725	      0.002109	     15.404142	
    720.000000	     81.078997	      0.002118	      9.204751	
    725.000000	     81.093983	      0.002122	     19.789294	
    730.000000	     81.107464	      0.002117	     12.678215	
    735.000000	     81.120348	      0.002104	     17.573754	
    740.000000	     81.137143	      0.002091	     20.026475	
    745.000000	     81.160558	      0.002075	     37.039719	
    750.000000	     81.187794	      0.002051	     63.092393	
    755.000000	     81.217131	      0.002021	     96.684567	
    760.000000	     81.245176	      0.001995	    104.326068	
    765.000000	     81.272537	      0.001966	     69.917897	
    770.000000	     81.302321	      0.001928	    117.978593	
    775.000000	     81.333181	      0.001887	    147.848751	
    780.000000	     81.364729	      0.001839	    148.932272	
    785.000000	     81.394231	      0.001786	    224.123827	
    790.000000	     81.423839	      0.001738	    194.142979	
    795.000000	     81.460522	      0.001688	    179.687212	
    800.000000	     81.502991	      0.001626	    295.734398	
    805.000000	     81.550769	      0.001559	    403.329580	
    810.000000	     81.599329	      0.001497	    459.113663	
    815.000000	     81.646385	      0.001434	    361.764842	
    820.000000	     81.695316	      0.001365	    472.397743	
    825.000000	     81.744858	      0.001294	    531.641982	
    830.000000	     81.797547	      0.001219	    574.989941	
    835.000000	     81.853849	      0.001146	    713.017450	
    840.000000	     81.908566	      0.001078	    645.219648	
    845.000000	     81.961430	      0.001010	    621.165562	
    850.000000	     82.015920	      0.000943	    679.491085	
    855.000000	     82.069273	      0.000881	    711.113512	
    860.000000	     82.121830	      0.000823	    599.393814	
    865.000000	     82.174318	      0.000765	    646.425057	
    870.000000	     82.227767	      0.000708	    678.774010	
    875.000000	     82.284750	      0.000653	    739.800754	
    880.000000	     82.343801	      0.000600	    776.867859	
    885.000000	     82.405623	      0.000550	    815.602498	
    890.000000	     82.470703	      0.000503	    864.099354	
    895.000000	     82.536948	      0.000459	    865.003548	
    900.000000	     82.600184	      0.000417	    916.518057	
    905.000000	     82.658382	      0.000377	    929.495856	
    910.000000	     82.713667	      0.000343	    842.472286	
    915.000000	     82.773734	      0.000315	    750.337486	
    920.000000	     82.835024	      0.000289	    837.346341	
    925.000000	     82.891985	      0.000264	    799.432013	
    930.000000	     82.947692	      0.000243	    887.258038	
    935.000000	     83.001245	      0.000225	    858.613028	
    940.000000	     83.051457	      0.000210	    889.346733	
