           CV0	          hist	   free energy	  bias force 0	   var force 0	
     71.000000	   2199.000000	     28.371505	     -0.000480	      0.000000	
     73.000000	   1649.000000	     26.513899	     -0.000354	      0.000000	
     75.000000	   1766.000000	     25.294878	     -0.000232	      0.000000	
     77.000000	   2096.000000	     24.596961	     -0.000133	      0.000000	
     79.000000	   2558.000000	     24.406339	     -0.000036	      0.000000	
     81.000000	   1990.000000	     24.609008	      0.000039	      0.000000	
     83.000000	   2221.000000	     25.139275	      0.000101	      0.000000	
     85.000000	   1291.000000	     25.969723	      0.000158	      0.000000	
     87.000000	    855.000000	     27.050745	      0.000206	      0.000000	
     89.000000	    942.000000	     28.307092	      0.000239	      0.000000	
     91.000000	   1054.000000	     29.721256	      0.000269	      0.000000	
     93.000000	    968.000000	     31.228635	      0.000287	      0.000000	
     95.000000	    642.000000	     32.784424	      0.000296	      0.000000	
     97.000000	    758.000000	     34.359986	      0.000300	      0.000000	
     99.000000	    266.000000	     35.916326	      0.000296	      0.000000	
    101.000000	    335.000000	     37.411539	      0.000285	      0.000000	
    103.000000	    221.000000	     38.840012	      0.000272	      0.000000	
    105.000000	    434.000000	     40.155298	      0.000250	      0.000000	
    107.000000	    238.000000	     41.337788	      0.000225	      0.000000	
    109.000000	    414.000000	     42.391200	      0.000201	      0.000000	
    111.000000	    412.000000	     43.255295	      0.000165	      0.000000	
    113.000000	    163.000000	     43.950357	      0.000132	      0.000000	
    115.000000	    127.000000	     44.464691	      0.000098	      0.000000	
    117.000000	    100.000000	     44.773941	      0.000059	      0.000000	
    119.000000	     96.000000	     44.872718	      0.000019	      0.000000	
    121.000000	     83.000000	     44.769500	     -0.000020	      0.000000	
    123.000000	     72.000000	     44.465763	     -0.000058	      0.000000	
    125.000000	     65.000000	     43.968010	     -0.000095	      0.000000	
    127.000000	     57.000000	     43.270283	     -0.000133	      0.000000	
    129.000000	     54.000000	     42.392694	     -0.000167	      0.000000	
    131.000000	     81.000000	     41.350163	     -0.000199	      0.000000	
    133.000000	    106.000000	     40.160950	     -0.000226	      0.000000	
    135.000000	    100.000000	     38.842520	     -0.000251	      0.000000	
    137.000000	    124.000000	     37.420130	     -0.000271	      0.000000	
    139.000000	    149.000000	     35.914792	     -0.000287	      0.000000	
    141.000000	     76.000000	     34.359783	     -0.000296	      0.000000	
    143.000000	     65.000000	     32.784720	     -0.000300	      0.000000	
    145.000000	     61.000000	     31.225347	     -0.000297	      0.000000	
    147.000000	    223.000000	     29.732748	     -0.000284	      0.000000	
    149.000000	    258.000000	     28.319803	     -0.000269	      0.000000	
    151.000000	    392.000000	     27.054180	     -0.000241	      0.000000	
    153.000000	    403.000000	     25.984209	     -0.000204	      0.000000	
    155.000000	    584.000000	     25.153745	     -0.000158	      0.000000	
    157.000000	    441.000000	     24.580702	     -0.000109	      0.000000	
    159.000000	    445.000000	     24.378673	     -0.000038	      0.000000	
    161.000000	    583.000000	     24.604193	      0.000043	      0.000000	
    163.000000	    636.000000	     25.300655	      0.000133	      0.000000	
    165.000000	    522.000000	     26.421255	      0.000213	      0.000000	
    167.000000	    253.000000	     28.252530	      0.000349	      0.000000	
    169.000000	    162.000000	     29.512896	      0.000480	      0.000000	
