           CV0	          hist	   free energy	   metaforce 0	   abf force 0	   var force 0	  czar force 0	       metapot	
     71.000000	   1739.000000	     28.349143	      0.002575	     -0.000215	      0.000000	      0.000038	      0.017380	
     73.000000	   3194.000000	     27.499780	      0.001317	     -0.000180	      0.000000	     -0.000162	      0.021363	
     75.000000	   2857.000000	     26.413114	      0.000058	     -0.000062	      0.000000	     -0.000207	      0.022651	
     77.000000	   1935.000000	     26.047524	     -0.000418	      0.000004	      0.000000	     -0.000070	      0.022140	
     79.000000	   1811.000000	     25.998005	     -0.000208	      0.000072	      0.000000	     -0.000009	      0.021448	
     81.000000	   2469.000000	     25.942535	      0.000091	      0.000017	      0.000000	     -0.000011	      0.021359	
     83.000000	   2668.000000	     26.260416	      0.000158	     -0.000020	      0.000000	      0.000061	      0.021647	
     85.000000	   2222.000000	     26.769932	      0.000080	      0.000077	      0.000000	      0.000097	      0.021895	
     87.000000	   2042.000000	     27.100398	      0.000004	      0.000073	      0.000000	      0.000063	      0.021972	
     89.000000	   2359.000000	     27.525338	     -0.000019	      0.000100	      0.000000	      0.000081	      0.021945	
     91.000000	   2324.000000	     27.931301	      0.000031	      0.000117	      0.000000	      0.000077	      0.021945	
     93.000000	   2289.000000	     28.499584	      0.000121	      0.000178	      0.000000	      0.000108	      0.022099	
     95.000000	   2590.000000	     29.584637	      0.000133	      0.000134	      0.000000	      0.000207	      0.022375	
     97.000000	   2458.000000	     30.344272	      0.000018	      0.000148	      0.000000	      0.000145	      0.022541	
     99.000000	   2414.000000	     31.285446	     -0.000110	      0.000117	      0.000000	      0.000179	      0.022438	
    101.000000	   1960.000000	     32.122092	     -0.000132	      0.000162	      0.000000	      0.000159	      0.022176	
    103.000000	   2430.000000	     33.149809	     -0.000070	      0.000198	      0.000000	      0.000196	      0.021969	
    105.000000	   1878.000000	     34.125224	     -0.000019	      0.000146	      0.000000	      0.000186	      0.021888	
    107.000000	   2127.000000	     34.098934	     -0.000009	      0.000058	      0.000000	     -0.000005	      0.021865	
    109.000000	   2597.000000	     34.544288	     -0.000005	      0.000054	      0.000000	      0.000085	      0.021849	
    111.000000	   1925.000000	     35.251287	      0.000015	      0.000179	      0.000000	      0.000135	      0.021857	
    113.000000	   1966.000000	     35.995304	      0.000042	      0.000106	      0.000000	      0.000142	      0.021915	
    115.000000	   1996.000000	     36.260935	      0.000048	      0.000029	      0.000000	      0.000051	      0.022012	
    117.000000	   2439.000000	     36.050396	     -0.000004	      0.000057	      0.000000	     -0.000040	      0.022068	
    119.000000	   2696.000000	     36.351188	     -0.000128	      0.000053	      0.000000	      0.000057	      0.021944	
    121.000000	   1893.000000	     36.647995	     -0.000254	      0.000022	      0.000000	      0.000057	      0.021553	
    123.000000	   1824.000000	     36.564930	     -0.000272	     -0.000138	      0.000000	     -0.000016	      0.021004	
    125.000000	   1735.000000	     36.036842	     -0.000175	     -0.000055	      0.000000	     -0.000101	      0.020545	
    127.000000	   1772.000000	     36.169950	     -0.000075	     -0.000042	      0.000000	      0.000025	      0.020305	
    129.000000	   1626.000000	     35.955513	     -0.000053	     -0.000157	      0.000000	     -0.000041	      0.020190	
    131.000000	   1927.000000	     36.048005	     -0.000071	     -0.000091	      0.000000	      0.000018	      0.020066	
    133.000000	   1399.000000	     35.579509	     -0.000063	      0.000035	      0.000000	     -0.000089	      0.019924	
    135.000000	   1703.000000	     34.495301	     -0.000011	     -0.000086	      0.000000	     -0.000206	      0.019843	
    137.000000	   1729.000000	     33.853015	      0.000073	     -0.000237	      0.000000	     -0.000122	      0.019902	
    139.000000	   1781.000000	     33.122778	      0.000148	     -0.000059	      0.000000	     -0.000139	      0.020130	
    141.000000	   1642.000000	     32.063977	      0.000139	     -0.000100	      0.000000	     -0.000202	      0.020436	
    143.000000	   2102.000000	     31.398198	      0.000019	     -0.000164	      0.000000	     -0.000127	      0.020609	
    145.000000	   2228.000000	     31.096697	     -0.000127	     -0.000145	      0.000000	     -0.000057	      0.020495	
    147.000000	   1666.000000	     30.161612	     -0.000193	     -0.000154	      0.000000	     -0.000178	      0.020158	
    149.000000	   2076.000000	     29.502217	     -0.000174	     -0.000172	      0.000000	     -0.000126	      0.019783	
    151.000000	   1432.000000	     29.094934	     -0.000145	     -0.000071	      0.000000	     -0.000078	      0.019469	
    153.000000	   1619.000000	     28.232669	     -0.000152	     -0.000089	      0.000000	     -0.000164	      0.019178	
    155.000000	   1581.000000	     28.394407	     -0.000181	     -0.000135	      0.000000	      0.000031	      0.018845	
    157.000000	   1408.000000	     27.482857	     -0.000177	     -0.000049	      0.000000	     -0.000174	      0.018475	
    159.000000	   1672.000000	     27.631880	     -0.000066	     -0.000046	      0.000000	      0.000028	      0.018209	
    161.000000	   1662.000000	     27.622291	      0.000137	      0.000053	      0.000000	     -0.000002	      0.018277	
    163.000000	    940.000000	     27.438032	      0.000188	      0.000124	      0.000000	     -0.000035	      0.018659	
    165.000000	   1902.000000	     27.723513	     -0.000258	     -0.000020	      0.000000	      0.000054	      0.018690	
    167.000000	   2434.000000	     29.266155	     -0.001209	      0.000154	      0.000000	      0.000294	      0.017275	
    169.000000	    755.000000	     29.701379	     -0.002109	      0.000285	      0.000000	      0.000166	      0.013887	
