           CV0	          hist	   free energy	     metapot 0	
     71.000000	   3088.000000	    -31.674220	     28.794746	
     73.000000	   3804.000000	    -43.910628	     39.918753	
     75.000000	   5104.000000	    -48.391094	     43.991904	
     77.000000	   5461.000000	    -50.546718	     45.951562	
     79.000000	   5374.000000	    -53.087499	     48.261362	
     81.000000	   6430.000000	    -52.603197	     47.821089	
     83.000000	   5671.000000	    -52.686316	     47.896651	
     85.000000	   5244.000000	    -53.141509	     48.310463	
     87.000000	   5519.000000	    -51.971470	     47.246791	
     89.000000	   5704.000000	    -50.669424	     46.063113	
     91.000000	   4608.000000	    -49.309041	     44.826401	
     93.000000	   4942.000000	    -47.324279	     43.022072	
     95.000000	   4490.000000	    -45.402989	     41.275444	
     97.000000	   3333.000000	    -43.566859	     39.606235	
     99.000000	   3774.000000	    -41.729758	     37.936144	
    101.000000	   3155.000000	    -40.398505	     36.725914	
    103.000000	   3228.000000	    -39.986197	     36.351088	
    105.000000	   3415.000000	    -39.473872	     35.885338	
    107.000000	   2823.000000	    -38.575332	     35.068483	
    109.000000	   2704.000000	    -37.177404	     33.797640	
    111.000000	   3136.000000	    -36.091577	     32.810525	
    113.000000	   2501.000000	    -36.226419	     32.933108	
    115.000000	   2463.000000	    -35.671118	     32.428289	
    117.000000	   2596.000000	    -34.776541	     31.615037	
    119.000000	   2527.000000	    -34.966964	     31.788149	
    121.000000	   2504.000000	    -34.991181	     31.810165	
    123.000000	   2425.000000	    -34.645436	     31.495851	
    125.000000	   2661.000000	    -34.698291	     31.543901	
    127.000000	   2693.000000	    -35.639675	     32.399704	
    129.000000	   2545.000000	    -36.959790	     33.599809	
    131.000000	   3027.000000	    -37.420427	     34.018570	
    133.000000	   3207.000000	    -37.540901	     34.128092	
    135.000000	   2753.000000	    -39.877419	     36.252199	
    137.000000	   3367.000000	    -41.393856	     37.630778	
    139.000000	   4008.000000	    -42.221739	     38.383399	
    141.000000	   3739.000000	    -43.214243	     39.285675	
    143.000000	   4153.000000	    -45.642330	     41.493027	
    145.000000	   4558.000000	    -47.726042	     43.387311	
    147.000000	   4972.000000	    -48.182950	     43.802681	
    149.000000	   4945.000000	    -50.311357	     45.737598	
    151.000000	   5316.000000	    -51.595450	     46.904954	
    153.000000	   5952.000000	    -52.667697	     47.879724	
    155.000000	   6703.000000	    -54.268149	     49.334681	
    157.000000	   5580.000000	    -54.655596	     49.686906	
    159.000000	   6270.000000	    -55.467898	     50.425362	
    161.000000	   6525.000000	    -55.281949	     50.256318	
    163.000000	   6930.000000	    -54.031816	     49.119833	
    165.000000	   4704.000000	    -55.891294	     50.810268	
    167.000000	  10112.000000	    -58.304416	     53.004014	
    169.000000	   3125.000000	    -39.597732	     35.997938	
