     time [fs]	           Xi0	         T [K]	      Epot [H]	
      0.000000	     79.957252	    298.150152	      0.000000	
      5.000000	     79.914159	    276.138371	      0.000002	
     10.000000	     79.871770	    324.598067	      0.000005	
     15.000000	     79.829876	    320.818577	      0.000009	
     20.000000	     79.788243	    318.099699	      0.000014	
     25.000000	     79.748929	    269.609633	      0.000019	
     30.000000	     79.709642	    245.527269	      0.000026	
     35.000000	     79.669420	    290.991127	      0.000034	
     40.000000	     79.630107	    239.632202	      0.000041	
     45.000000	     79.592374	    236.754852	      0.000051	
     50.000000	     79.555383	    262.650555	      0.000061	
     55.000000	     79.519938	    248.791166	      0.000072	
     60.000000	     79.487657	    230.549582	      0.000084	
     65.000000	     79.458313	    209.472722	      0.000097	
     70.000000	     79.432343	    222.880388	      0.000112	
     75.000000	     79.401728	    257.985495	      0.000130	
     80.000000	     79.362999	    322.784228	      0.000148	
     85.000000	     79.323930	    305.038130	      0.000168	
     90.000000	     79.288678	    322.436129	      0.000191	
     95.000000	     79.255459	    331.294860	      0.000216	
    100.000000	     79.222542	    333.565369	      0.000241	
    105.000000	     79.191634	    289.190906	      0.000265	
    110.000000	     79.163989	    253.809866	      0.000290	
    115.000000	     79.136614	    216.496702	      0.000315	
    120.000000	     79.106875	    240.668433	      0.000340	
    125.000000	     79.075674	    223.083933	      0.000363	
    130.000000	     79.042198	    156.011555	      0.000384	
    135.000000	     79.008861	    191.676578	      0.000405	
    140.000000	     78.978782	    134.800429	      0.000422	
    145.000000	     78.953498	    103.012274	      0.000437	
    150.000000	     78.928446	     75.840611	      0.000453	
    155.000000	     78.902516	    101.422357	      0.000471	
    160.000000	     78.879140	    105.801648	      0.000490	
    165.000000	     78.855323	     93.388285	      0.000507	
    170.000000	     78.832359	     79.641803	      0.000519	
    175.000000	     78.812446	     40.317030	      0.000528	
    180.000000	     78.792882	     34.193055	      0.000538	
    185.000000	     78.774451	     45.238784	      0.000549	
    190.000000	     78.758304	     36.002500	      0.000559	
    195.000000	     78.740488	     26.652734	      0.000567	
    200.000000	     78.716845	     34.095022	      0.000576	
    205.000000	     78.687772	     67.269699	      0.000586	
    210.000000	     78.660443	     70.440600	      0.000595	
    215.000000	     78.636803	     46.602290	      0.000602	
    220.000000	     78.616580	     39.111966	      0.000606	
    225.000000	     78.599787	     20.939784	      0.000609	
    230.000000	     78.585983	     18.966096	      0.000612	
    235.000000	     78.577398	      9.184207	      0.000613	
    240.000000	     78.576477	      2.114514	      0.000613	
    245.000000	     78.584043	      0.957800	      0.000612	
    250.000000	     78.594242	      8.927415	      0.000612	
    255.000000	     78.602955	      5.754068	      0.000610	
    260.000000	     78.613324	      7.386816	      0.000604	
    265.000000	     78.620105	     18.401499	      0.000595	
    270.000000	     78.622700	     16.957913	      0.000585	
    275.000000	     78.625246	     15.550124	      0.000575	
    280.000000	     78.630495	     17.511498	      0.000565	
    285.000000	     78.638901	     16.483333	      0.000554	
    290.000000	     78.645339	     31.619088	      0.000541	
    295.000000	     78.651055	     28.905812	      0.000530	
    300.000000	     78.657619	     18.581641	      0.000522	
    305.000000	     78.666881	     11.792223	      0.000514	
    310.000000	     78.683682	     19.299386	      0.000505	
    315.000000	     78.709113	     48.757420	      0.000496	
    320.000000	     78.737468	     62.537939	      0.000487	
    325.000000	     78.769623	     64.792250	      0.000480	
    330.000000	     78.808176	     91.473872	      0.000473	
    335.000000	     78.852591	    120.158854	      0.000463	
    340.000000	     78.900625	    170.983612	      0.000452	
    345.000000	     78.945709	    169.341391	      0.000442	
    350.000000	     78.987280	    137.303635	      0.000428	
    355.000000	     79.026849	    163.078081	      0.000411	
    360.000000	     79.061183	    157.357084	      0.000393	
    365.000000	     79.092355	    119.781668	      0.000376	
    370.000000	     79.127481	    145.770132	      0.000356	
    375.000000	     79.163292	    181.521453	      0.000337	
    380.000000	     79.197591	    171.097209	      0.000316	
    385.000000	     79.231363	    199.370784	      0.000294	
    390.000000	     79.263596	    221.166193	      0.000271	
    395.000000	     79.298944	    250.075728	      0.000247	
    400.000000	     79.337854	    304.291304	      0.000221	
    405.000000	     79.377880	    399.128593	      0.000194	
    410.000000	     79.418601	    397.386829	      0.000168	
    415.000000	     79.459717	    469.229683	      0.000142	
    420.000000	     79.503771	    500.147581	      0.000118	
    425.000000	     79.546402	    511.802880	      0.000097	
    430.000000	     79.585340	    481.039665	      0.000077	
    435.000000	     79.626713	    459.530324	      0.000060	
    440.000000	     79.667622	    511.634953	      0.000045	
    445.000000	     79.705554	    510.872491	      0.000032	
    450.000000	     79.743930	    435.102435	      0.000022	
    455.000000	     79.781449	    442.941562	      0.000013	
    460.000000	     79.818196	    447.306072	      0.000007	
    465.000000	     79.856867	    429.929695	      0.000003	
    470.000000	     79.894624	    483.445030	      0.000000	
    475.000000	     79.930531	    480.555458	      0.000001	
    480.000000	     79.961888	    592.725297	      0.000004	
    485.000000	     79.987989	    587.691092	      0.000010	
    490.000000	     80.017716	    569.241014	      0.000019	
    495.000000	     80.057042	    596.036750	      0.000030	
    500.000000	     80.102267	    618.060331	      0.000045	
    505.000000	     80.146456	    591.653599	      0.000061	
    510.000000	     80.188120	    564.516874	      0.000080	
    515.000000	     80.223941	    555.891290	      0.000103	
    520.000000	     80.254215	    603.666053	      0.000130	
    525.000000	     80.281551	    688.335295	      0.000163	
    530.000000	     80.313805	    671.789016	      0.000198	
    535.000000	     80.349799	    667.007816	      0.000234	
    540.000000	     80.383175	    584.008828	      0.000273	
    545.000000	     80.420499	    614.600950	      0.000315	
    550.000000	     80.456865	    611.539241	      0.000358	
    555.000000	     80.492156	    531.783977	      0.000403	
    560.000000	     80.525541	    564.467847	      0.000451	
    565.000000	     80.557397	    500.859295	      0.000502	
    570.000000	     80.593657	    622.709236	      0.000560	
    575.000000	     80.628087	    628.885849	      0.000618	
    580.000000	     80.659480	    531.465911	      0.000677	
    585.000000	     80.692134	    535.118076	      0.000737	
    590.000000	     80.723218	    498.338842	      0.000795	
    595.000000	     80.748648	    414.867143	      0.000854	
    600.000000	     80.765720	    403.658630	      0.000913	
    605.000000	     80.778256	    340.864013	      0.000975	
    610.000000	     80.791887	    391.612077	      0.001042	
    615.000000	     80.804608	    415.605537	      0.001109	
    620.000000	     80.814669	    352.118624	      0.001178	
    625.000000	     80.825360	    393.931544	      0.001251	
    630.000000	     80.846103	    397.224084	      0.001324	
    635.000000	     80.875966	    412.295428	      0.001399	
    640.000000	     80.906540	    410.673409	      0.001478	
    645.000000	     80.939906	    488.047676	      0.001560	
    650.000000	     80.975628	    423.114924	      0.001638	
    655.000000	     81.011987	    404.314886	      0.001711	
    660.000000	     81.044612	    339.952498	      0.001775	
    665.000000	     81.071506	    205.110670	      0.001830	
    670.000000	     81.098817	    181.559648	      0.001880	
    675.000000	     81.123827	    149.959993	      0.001918	
    680.000000	     81.146508	     76.305411	      0.001949	
    685.000000	     81.172087	     76.365755	      0.001980	
    690.000000	     81.199324	     94.243668	      0.002014	
    695.000000	     81.225552	    102.152507	      0.002047	
    700.000000	     81.249995	     78.105519	      0.002072	
    705.000000	     81.267886	     54.209926	      0.002092	
    710.000000	     81.281068	     24.409909	      0.002108	
    715.000000	     81.292981	     18.673216	      0.002119	
    720.000000	     81.307083	     11.508434	      0.002129	
    725.000000	     81.323848	     23.960171	      0.002133	
    730.000000	     81.339055	     16.122380	      0.002127	
    735.000000	     81.353611	     20.800537	      0.002115	
    740.000000	     81.372024	     22.983906	      0.002102	
    745.000000	     81.397002	     41.724982	      0.002086	
    750.000000	     81.425745	     68.578367	      0.002062	
    755.000000	     81.456533	    102.551628	      0.002033	
    760.000000	     81.485971	    110.200317	      0.002007	
    765.000000	     81.514667	     74.842906	      0.001978	
    770.000000	     81.545725	    123.118612	      0.001941	
    775.000000	     81.577800	    153.147579	      0.001900	
    780.000000	     81.610502	    153.931613	      0.001853	
    785.000000	     81.641096	    229.101007	      0.001800	
    790.000000	     81.671733	    198.025014	      0.001752	
    795.000000	     81.709380	    184.125811	      0.001702	
    800.000000	     81.752749	    300.916836	      0.001641	
    805.000000	     81.801360	    408.533694	      0.001574	
    810.000000	     81.850688	    464.701348	      0.001513	
    815.000000	     81.898442	    366.313974	      0.001451	
    820.000000	     81.948004	    476.761807	      0.001382	
    825.000000	     81.998106	    535.630722	      0.001311	
    830.000000	     82.051284	    578.515863	      0.001236	
    835.000000	     82.108004	    716.432599	      0.001164	
    840.000000	     82.163064	    648.140791	      0.001097	
    845.000000	     82.216197	    623.339931	      0.001029	
    850.000000	     82.270879	    681.148197	      0.000963	
    855.000000	     82.324403	    712.483425	      0.000901	
    860.000000	     82.377108	    600.485189	      0.000844	
    865.000000	     82.429717	    647.406714	      0.000786	
    870.000000	     82.483260	    679.513562	      0.000730	
    875.000000	     82.540309	    740.407268	      0.000675	
    880.000000	     82.599396	    777.262404	      0.000622	
    885.000000	     82.661222	    815.759959	      0.000572	
    890.000000	     82.726271	    863.983611	      0.000526	
    895.000000	     82.792450	    864.569525	      0.000483	
    900.000000	     82.855583	    915.768285	      0.000441	
    905.000000	     82.913638	    928.489393	      0.000402	
    910.000000	     82.968739	    841.250487	      0.000369	
    915.000000	     83.028580	    748.820447	      0.000340	
    920.000000	     83.089597	    835.160224	      0.000315	
    925.000000	     83.146239	    797.154575	      0.000291	
    930.000000	     83.201579	    884.650796	      0.000270	
    935.000000	     83.254713	    855.715666	      0.000252	
    940.000000	     83.304454	    886.226035	      0.000238	
    945.000000	     83.351520	    747.014104	      0.000228	
    950.000000	     83.396829	    788.299138	      0.000221	
    955.000000	     83.439152	    714.308667	      0.000218	
    960.000000	     83.481092	    661.933807	      0.000218	
    965.000000	     83.527552	    632.669926	      0.000222	
    970.000000	     83.579461	    696.927443	      0.000229	
    975.000000	     83.632559	    770.253339	      0.000240	
    980.000000	     83.686108	    678.584017	      0.000253	
    985.000000	     83.738229	    695.346203	      0.000269	
    990.000000	     83.785509	    614.445931	      0.000287	
    995.000000	     83.829245	    632.765556	      0.000308	
   1000.000000	     83.865946	    588.918603	      0.000330	
   1005.000000	     83.897577	    508.203554	      0.000353	
   1010.000000	     83.931596	    529.452772	      0.000379	
   1015.000000	     83.966151	    506.998680	      0.000408	
   1020.000000	     84.000433	    513.574453	      0.000440	
   1025.000000	     84.035085	    593.800671	      0.000477	
   1030.000000	     84.068632	    604.104517	      0.000516	
   1035.000000	     84.101947	    575.570427	      0.000556	
   1040.000000	     84.135400	    498.590784	      0.000598	
   1045.000000	     84.166053	    501.334230	      0.000640	
   1050.000000	     84.194623	    424.561115	      0.000680	
   1055.000000	     84.222210	    352.727721	      0.000719	
   1060.000000	     84.247436	    322.725977	      0.000759	
   1065.000000	     84.272095	    309.606158	      0.000802	
   1070.000000	     84.298267	    365.098261	      0.000847	
   1075.000000	     84.328581	    333.239412	      0.000889	
   1080.000000	     84.360320	    255.427789	      0.000928	
   1085.000000	     84.390838	    235.518995	      0.000963	
   1090.000000	     84.416815	    167.044510	      0.000993	
   1095.000000	     84.434788	    116.038779	      0.001024	
   1100.000000	     84.444114	    154.517627	      0.001061	
   1105.000000	     84.450813	    171.597399	      0.001100	
   1110.000000	     84.459118	    190.233112	      0.001143	
   1115.000000	     84.467944	    213.501778	      0.001190	
   1120.000000	     84.480923	    240.108123	      0.001240	
   1125.000000	     84.494796	    270.352909	      0.001292	
   1130.000000	     84.506514	    239.937184	      0.001340	
   1135.000000	     84.518171	    174.006270	      0.001387	
   1140.000000	     84.528390	    197.624393	      0.001436	
   1145.000000	     84.538600	    195.832038	      0.001485	
   1150.000000	     84.549839	    170.966296	      0.001529	
   1155.000000	     84.559149	    129.301523	      0.001570	
   1160.000000	     84.567248	    115.617419	      0.001606	
   1165.000000	     84.575152	     69.488406	      0.001637	
   1170.000000	     84.579975	     65.306908	      0.001665	
   1175.000000	     84.580580	     40.849501	      0.001687	
   1180.000000	     84.574975	     28.238088	      0.001703	
   1185.000000	     84.561439	     18.612479	      0.001715	
   1190.000000	     84.546980	     32.846763	      0.001730	
   1195.000000	     84.534551	     32.019509	      0.001745	
   1200.000000	     84.519300	     26.734693	      0.001754	
   1205.000000	     84.504958	     24.041561	      0.001762	
   1210.000000	     84.490461	     20.021995	      0.001771	
   1215.000000	     84.469216	     25.274408	      0.001774	
   1220.000000	     84.444973	     42.973022	      0.001775	
   1225.000000	     84.420290	     38.980581	      0.001770	
   1230.000000	     84.393038	     43.512839	      0.001759	
   1235.000000	     84.362592	     65.153958	      0.001742	
   1240.000000	     84.329591	     82.316335	      0.001720	
   1245.000000	     84.294823	     99.987900	      0.001697	
   1250.000000	     84.257115	    108.274183	      0.001669	
   1255.000000	     84.220209	    151.292808	      0.001637	
   1260.000000	     84.188212	    131.050553	      0.001601	
   1265.000000	     84.159959	    142.994295	      0.001561	
   1270.000000	     84.134209	    144.498707	      0.001517	
   1275.000000	     84.108927	    175.890490	      0.001472	
   1280.000000	     84.083671	    160.508525	      0.001433	
   1285.000000	     84.058266	    125.127237	      0.001395	
   1290.000000	     84.035567	    145.412089	      0.001356	
   1295.000000	     84.017760	    142.511842	      0.001316	
   1300.000000	     83.999505	    143.300880	      0.001277	
   1305.000000	     83.976338	    129.209212	      0.001243	
   1310.000000	     83.952185	    121.622582	      0.001210	
   1315.000000	     83.930678	    116.407353	      0.001177	
   1320.000000	     83.912770	    119.478779	      0.001142	
   1325.000000	     83.895584	    144.643022	      0.001104	
   1330.000000	     83.875406	    154.429815	      0.001069	
   1335.000000	     83.855359	    128.639124	      0.001034	
   1340.000000	     83.836684	    161.065221	      0.000998	
   1345.000000	     83.820354	    156.987482	      0.000966	
   1350.000000	     83.806790	     95.196245	      0.000938	
   1355.000000	     83.792069	    104.780674	      0.000907	
   1360.000000	     83.778065	    155.109149	      0.000874	
   1365.000000	     83.765913	    147.957265	      0.000842	
   1370.000000	     83.752117	    146.191192	      0.000812	
   1375.000000	     83.740136	    123.456601	      0.000782	
   1380.000000	     83.733046	    149.061085	      0.000754	
   1385.000000	     83.732474	    122.406654	      0.000724	
   1390.000000	     83.736951	    189.218723	      0.000695	
   1395.000000	     83.739514	    167.925708	      0.000665	
   1400.000000	     83.737581	    187.554881	      0.000636	
   1405.000000	     83.735777	    194.992370	      0.000608	
   1410.000000	     83.740971	    152.167505	      0.000583	
   1415.000000	     83.747652	    216.655014	      0.000557	
